X,Y,TotalVolunteers,DateOriginal,Totalltems_EventRecord
-174.018918,-18.68687,14,9/21/2017,1073
-173.97606,-18.66954,7,9/15/2017,142
-171.77268,-13.83346,17,8/18/2018,585
-171.76637,-13.86685,1,9/19/2016,3
-171.75229,-13.83113,17,8/18/2018,333
-171.7462,-13.82847,42,9/17/2016,5968
-170.2719,57.12851,9,5/15/2018,205
-168.10953,65.62188,27,9/30/2016,377
-166.48773,65.33354,16,10/30/2018,433
-166.07532,66.25621,13,10/24/2018,68
-166.07243,66.2558,78,9/28/2016,1096
-164.53846,67.7265,9,10/17/2016,314
-164.53846,67.7265,14,10/18/2016,534
-159.4404,21.87386,1,2/11/2017,8
-159.43991,21.87425,1,2/13/2017,5
-159.43972,21.87528,1,2/11/2017,8
-159.4397,21.87553,1,2/8/2017,7
-159.43969,21.87439,1,2/10/2017,7
-159.43949,21.87533,1,2/9/2017,9
-159.43947,21.87524,1,2/13/2017,4
-159.43945,21.87528,1,2/10/2017,3
-159.43939,21.87508,1,2/9/2017,6
-159.43933,21.87504,1,2/13/2017,11
-159.43927,21.87553,1,2/9/2017,4
-159.43858,21.87594,1,2/9/2017,7
-159.43852,21.87448,1,2/10/2017,39
-159.43848,21.8759,1,2/9/2017,7
-159.43781,21.8754,1,2/13/2017,9
-159.43779,21.87543,1,2/13/2017,7
-159.43571,21.87391,1,2/9/2017,5
-159.4108128,21.89162314,47,9/24/2019,1431
-159.36079,21.97345,1,12/2/2015,346
-159.337753,22.01569073,85,9/21/2019,15309
-159.335015,22.041381,26,9/21/2019,115
-159.33432,22.10078,2,9/21/2019,45
-159.29757,22.11501,5,12/24/2018,384
-158.25248,21.55129,2,10/29/2016,3
-158.19296,21.5821,2,10/16/2018,24
-158.19216,21.58185,1,9/21/2017,54
-158.15735,21.38577,22,9/16/2017,724
-158.15212,21.58067,63,9/16/2017,5265
-158.14448,21.3782,36,9/17/2016,1834
-158.14049,21.57906,45,9/15/2018,3103
-158.13249,21.35302,2,10/1/2016,0
-158.13249,21.35302,2,10/29/2016,5
-158.12249,21.58392,1,9/8/2016,70
-158.11586,21.58466,5,9/28/2019,139
-158.11241,21.33621,1,11/1/2017,4
-158.11129,21.58949,1,12/6/2016,40
-158.10321,21.58598,1,7/27/2019,14
-158.08634,21.61764,1,9/9/2016,29
-158.08257,21.62588,1,8/16/2016,91
-158.07473,21.3486,2,7/8/2017,83
-158.06659,21.49586,1,6/29/2017,18
-158.03513,21.68007,1,8/15/2017,473
-158.03508,21.68022,1,8/12/2019,162
-158.03507,21.68016,1,10/29/2017,220
-158.03506,21.68013,1,4/13/2018,115
-158.03506,21.68017,1,1/14/2018,76
-158.03503,21.68011,1,10/29/2017,473
-158.03502,21.68011,1,7/6/2019,135
-158.03502,21.68018,1,9/8/2018,133
-158.03502,21.68038,1,8/24/2017,203
-158.03501,21.68015,1,10/30/2017,172
-158.035,21.68006,2,9/23/2017,59
-158.035,21.68017,1,8/5/2017,86
-158.035,21.68019,1,9/3/2018,136
-158.035,21.68024,1,11/24/2019,122
-158.03499,21.68015,2,7/9/2018,79
-158.03499,21.68016,1,9/15/2018,106
-158.03499,21.68021,1,5/17/2018,78
-158.03499,21.68033,1,10/25/2017,179
-158.03498,21.68006,1,1/25/2018,96
-158.03498,21.68021,1,3/11/2018,52
-158.03496,21.68003,1,4/20/2018,55
-158.03496,21.68005,1,1/8/2018,50
-158.03496,21.68025,1,7/15/2018,92
-158.03495,21.68002,1,6/25/2018,46
-158.03495,21.68018,3,8/4/2019,289
-158.03495,21.68023,2,8/2/2019,108
-158.03494,21.68001,2,6/15/2018,97
-158.03494,21.68018,1,7/31/2017,62
-158.03494,21.68027,1,6/18/2018,59
-158.03493,21.68005,1,6/27/2018,46
-158.03492,21.68028,1,10/11/2017,122
-158.03489,21.67994,1,1/28/2018,31
-158.03489,21.67996,1,1/22/2018,91
-158.03489,21.68019,1,6/13/2019,98
-158.03487,21.67996,1,7/25/2018,92
-158.03479,21.67994,2,9/23/2017,77
-158.03476,21.68006,1,7/14/2019,178
-158.0273,21.31222,1,9/3/2016,156
-158.02724,21.31237,1,8/23/2016,71
-158.0271,21.31249,1,8/17/2016,100
-158.02201,21.69027,1,7/5/2018,72
-158.00472,21.37646,25,10/15/2016,1269
-158.00287,21.42442,1,7/12/2018,103
-158.00111,21.69983,1,11/24/2019,19
-157.99451,21.69779,1,4/22/2018,52
-157.98522,21.47386,12,9/15/2018,130
-157.97839,21.66945,160,9/16/2017,6427
-157.9572,21.69831,2,9/16/2017,0
-157.95716,21.69823,3,9/16/2017,156
-157.95008,21.69164,1,9/9/2016,208
-157.94981,21.69173,1,9/9/2016,140
-157.94618,21.67336,1,10/3/2018,154
-157.93714,21.67007,34,5/12/2017,539
-157.93697,21.67083,115,9/16/2016,2604
-157.9341,21.66317,1,1/30/2018,132
-157.93401,21.66334,1,8/12/2018,60
-157.93384,21.66349,1,6/16/2019,122
-157.92996,21.65325,1,6/9/2018,135
-157.929722,21.659444,88,10/23/2019,2020
-157.92896,21.65273,1,1/25/2020,714
-157.92758,21.65188,1,3/30/2020,144
-157.92751,21.65183,2,5/12/2020,53
-157.92751,21.65184,1,3/20/2020,119
-157.92741,21.65177,1,3/7/2020,39
-157.9274,21.65186,2,3/11/2020,62
-157.92737,21.65184,1,3/29/2020,167
-157.92736,21.65186,1,4/10/2020,87
-157.92709,21.65974,113,10/19/2017,4028
-157.92689,21.64606,2,4/26/2020,78
-157.92617,21.64238,1,11/14/2018,118
-157.92424,21.64991,1,6/24/2018,77
-157.92297,21.67502,200,9/17/2016,1567
-157.921667,21.6275,87,9/25/2019,3200
-157.92058,21.63818,2,3/26/2018,103
-157.9186,21.62454,113,9/13/2017,6197
-157.9173,21.61476,1,12/3/2019,2
-157.91708,21.61519,1,12/3/2019,4
-157.901688,21.32315488,17,7/27/2019,342
-157.8958,21.34912,1,6/14/2019,0
-157.89491,21.31499,12,9/20/2017,1707
-157.87612,21.55886,11,9/18/2016,2123
-157.87608,21.55884,22,1/7/2017,6592
-157.87454,21.55644,2,8/12/2017,64
-157.86774,21.29735,22,9/15/2018,292
-157.86532,21.33944,115,9/16/2016,4195
-157.8645064,21.28777785,7,10/13/2019,12
-157.8607203,21.29019196,11,9/15/2019,78
-157.86018,21.30183,22,9/15/2018,1927
-157.85999,21.29020188,2,9/29/2019,17
-157.8599522,21.28921489,3,9/28/2019,23
-157.85286,21.32414,4,9/15/2018,129
-157.85177,21.29275,1,10/27/2016,82
-157.8468262,21.28336249,2,9/28/2019,2
-157.84666,21.54973,1,9/16/2017,3
-157.84574,21.28597,2,7/8/2017,22
-157.84568,21.28601,1,7/8/2017,8
-157.84358,21.28619,16,9/16/2017,1732
-157.84302,21.28751,20,9/17/2016,1023
-157.84186,21.28647,9,9/16/2017,470
-157.8359,21.27886,12,9/16/2017,120
-157.82854,21.28401,1,3/20/2017,1
-157.82811,21.45611,1,12/31/2017,14
-157.82729,21.43559,2,9/16/2017,725
-157.82717,21.27667,1,1/31/2017,4
-157.82659,21.45441,1,1/1/2018,41
-157.82648,21.27698,1,2/2/2017,7
-157.82627,21.45441,1,12/31/2017,36
-157.82621,21.45437,1,12/31/2017,24
-157.82552,21.27533,15,6/22/2019,185
-157.82549,21.27605,100,6/22/2019,29
-157.82545,21.27543,1,6/22/2019,0
-157.82545,21.28096,1,6/15/2019,10
-157.8254,21.27528,1,6/22/2019,0
-157.82539,21.27532,4,6/22/2019,63
-157.82539,21.27562,1,6/22/2019,174
-157.82538,21.28094,1,6/16/2019,2
-157.82537,21.27567,1,6/22/2019,14
-157.82536,21.27551,2,6/22/2019,56
-157.8252,21.27547,1,6/22/2019,945
-157.82482,21.27462,5,6/22/2019,0
-157.82404,21.27904,1,6/22/2019,124
-157.82333,21.28485,1,7/10/2017,111
-157.82332,21.2848,1,7/3/2017,47
-157.82328,21.28483,1,7/7/2017,36
-157.82323,21.28479,1,7/10/2017,0
-157.82323,21.28484,1,7/3/2017,59
-157.82323,21.28492,1,6/30/2017,95
-157.82322,21.2848,1,7/7/2017,27
-157.82322,21.28481,1,7/10/2017,127
-157.82322,21.28485,1,7/7/2017,85
-157.8232,21.28468,1,7/3/2017,31
-157.8232,21.28491,1,7/3/2017,32
-157.82318,21.28488,1,7/7/2017,79
-157.82317,21.28479,1,6/30/2017,59
-157.82316,21.2849,1,7/3/2017,130
-157.82304,21.28492,1,6/20/2017,1
-157.82271,21.28493,1,7/3/2017,47
-157.82267,21.27117,1,6/22/2019,99
-157.82138,21.26358,3,6/22/2019,47
-157.82123,21.26607,2,6/22/2019,72
-157.81371,21.29547,14,12/3/2017,641
-157.81262,21.36172,11,9/15/2018,107
-157.81262,21.36172,22,9/15/2018,1927
-157.79486,21.29948,1,9/16/2017,55
-157.79134,21.29526,100,10/1/2016,7
-157.78727,21.43351,3,12/2/2017,63
-157.78708,21.43428,14,9/16/2017,429
-157.77685,21.269583,20,3/1/2015,457
-157.77685,21.269583,20,3/22/2015,666
-157.77685,21.269583,4,6/3/2015,331
-157.77685,21.269583,4,6/14/2015,213
-157.77685,21.269583,6,8/30/2015,445
-157.77685,21.269583,17,9/27/2015,355
-157.77685,21.269583,20,10/25/2015,566
-157.77685,21.269583,12,4/2/2016,150
-157.77628,21.27035,5,9/16/2017,268
-157.77349,21.27175,4,9/16/2017,110
-157.77315,21.27199,9,9/17/2016,486
-157.76818,21.4563,1,2/15/2017,21
-157.7599939,21.2763073,20,6/21/2019,489
-157.7546,21.38004,2,9/20/2016,1225
-157.7423,21.45341,1,5/6/2018,309
-157.74105,21.4537,1,2/26/2017,392
-157.73998,21.40812,260,9/17/2016,5024
-157.73623,21.44476,49,7/26/2017,3224
-157.72553,21.39563,1,9/15/2018,253
-157.7058931,21.25536111,2,9/5/2019,8
-157.70398,21.34519,19,1/11/2020,20925
-157.70103,21.34264,3,9/26/2018,667
-157.6969,21.27119,91,3/3/2018,3912
-157.6968,21.27119,75,12/1/2018,5481
-157.69679,21.27132,152,2/13/2016,2067
-157.69672,21.27122,69,9/1/2018,6509
-157.69662,21.2715,132,5/14/2016,3221
-157.69661,21.27153,52,6/2/2018,3988
-157.69656,21.27157,78,8/20/2016,1909
-157.6964171,21.27155215,98,6/8/2019,8447
-157.6964171,21.27155215,109,9/7/2019,5921
-157.6964171,21.27155215,57,12/7/2019,16558
-157.69483,21.27364,71,3/3/2018,3901
-157.6941318,21.2689657,10,9/22/2019,206
-157.6940416,21.26734017,3,10/19/2019,85
-157.69357,21.33212,114,9/13/2017,9984
-157.68934,21.32966,115,9/16/2016,6358
-157.68303,21.32577,2,7/4/2017,1
-157.68303,21.32577,1,7/4/2017,204
-157.68302,21.32577,1,7/4/2017,189
-157.68266,21.32568,1,7/4/2017,83
-157.68243,21.32569,1,7/4/2017,1
-157.68243,21.32569,1,7/4/2017,2
-157.68223,21.32572,1,7/16/2017,3
-157.68163,21.32528,1,7/4/2017,3
-157.66935,21.31917,12,9/22/2018,168
-157.66146,21.29234,7,12/9/2017,248
-157.66088,21.3126,18,7/21/2018,948
-157.66086,21.31209,7,9/16/2017,198
-157.66082,21.3121,5,9/16/2017,0
-157.66061,21.31164,14,11/4/2017,591
-156.9667358,20.73381185,12,9/21/2019,6
-156.9661218,20.73536168,12,9/21/2019,6
-156.9657778,20.73427403,16,9/21/2019,99
-156.956877,20.9265,3,10/10/2019,3
-156.91709,20.81533,20,9/28/2017,158
-156.899883,20.914319,2,10/21/2016,629
-156.899883,20.914319,2,11/14/2016,774
-156.899883,20.914319,2,12/16/2016,711
-156.899883,20.914319,2,1/10/2017,372
-156.899883,20.914319,2,2/14/2017,285
-156.899883,20.914319,1,3/8/2017,380
-156.899883,20.914319,2,4/12/2017,1718
-156.899883,20.914319,1,5/3/2017,2714
-156.899883,20.914319,2,6/5/2017,2056
-156.899883,20.914319,2,7/6/2017,1144
-156.899883,20.914319,2,8/9/2017,1157
-156.899883,20.914319,2,9/13/2017,690
-156.88672,20.90604,3,9/30/2016,958
-156.88672,20.90604,2,10/24/2016,940
-156.88672,20.90604,2,11/16/2016,549
-156.88672,20.90604,2,12/13/2016,308
-156.88672,20.90604,2,1/16/2017,128
-156.88672,20.90604,2,2/14/2017,236
-156.88672,20.90604,2,3/31/2017,581
-156.88672,20.90604,1,5/12/2017,1452
-156.88672,20.90604,1,6/21/2017,1826
-156.88672,20.90604,3,7/11/2017,574
-156.88672,20.90604,2,8/23/2017,755
-156.88672,20.90604,2,9/26/2017,409
-156.88672,20.90604,3,4/26/2018,349
-156.874151,20.895532,2,10/28/2016,818
-156.874151,20.895532,2,11/16/2016,394
-156.874151,20.895532,2,12/16/2016,308
-156.874151,20.895532,2,1/9/2017,345
-156.874151,20.895532,2,2/14/2017,151
-156.874151,20.895532,2,3/23/2017,128
-156.874151,20.895532,2,4/18/2017,906
-156.874151,20.895532,1,5/25/2017,1441
-156.874151,20.895532,2,6/14/2017,704
-156.874151,20.895532,2,8/9/2017,486
-156.874151,20.895532,2,9/8/2017,645
-156.874151,20.895532,3,4/26/2018,507
-156.862,20.8861,2,1/28/2016,52
-156.862,20.8861,2,1/28/2016,74
-156.862,20.8861,2,1/29/2016,30
-156.862,20.8861,2,1/29/2016,40
-156.862,20.8861,2,2/26/2016,58
-156.862,20.8861,2,2/26/2016,75
-156.862,20.8861,2,2/26/2016,23
-156.862,20.8861,2,2/26/2016,27
-156.862,20.8861,2,3/23/2016,15
-156.862,20.8861,2,3/23/2016,14
-156.862,20.8861,2,3/23/2016,63
-156.862,20.8861,2,3/23/2016,71
-156.862,20.8861,2,3/23/2016,42
-156.862,20.8861,2,4/7/2016,40
-156.862,20.8861,2,4/7/2016,31
-156.862,20.8861,2,4/7/2016,57
-156.862,20.8861,2,4/7/2016,25
-156.862,20.8861,2,5/16/2016,93
-156.862,20.8861,2,5/16/2016,60
-156.862,20.8861,2,5/16/2016,74
-156.862,20.8861,2,5/16/2016,33
-156.862,20.8861,2,6/7/2016,46
-156.862,20.8861,2,6/7/2016,70
-156.862,20.8861,2,6/7/2016,75
-156.862,20.8861,2,6/7/2016,54
-156.862,20.8861,2,7/14/2016,10
-156.862,20.8861,2,7/14/2016,18
-156.862,20.8861,2,7/14/2016,24
-156.862,20.8861,2,7/14/2016,35
