Entity,Plastic_Waste_Generation_tonnes
Albania,73364
Algeria,1898343
Angola,528843
Antigua and Barbuda,22804
Argentina,2753550
Aruba,9352
Australia,900658
Bahamas,51364
Bahrain,59785
Bangladesh,1888170
Barbados,58164
Belgium,318151
Belize,20191
Benin,144382
Bermuda,5990
Bosnia and Herzegovina,195633
Brazil,11852055
British Virgin Islands,2504
Brunei,3688
Bulgaria,415707
Cambodia,344698
Cameroon,335305
Canada,1154309
Cape Verde,11919
Cayman Islands,5106
Channel Islands,14678
Chile,738106
China,59079741
Colombia,2413455
Comoros,50599
Congo,110479
Costa Rica,428029
Cote d'Ivoire,766988
Croatia,406347
Cuba,368154
Curacao,13678
Cyprus,100713
Democratic Republic of Congo,1059795
Denmark,95171
Djibouti,31999
Dominica,3885
Dominican Republic,520238
Ecuador,801321
Egypt,5464471
El Salvador,330763
Equatorial Guinea,49990
Eritrea,72120
Estonia,85534
Faeroe Islands,4466
Fiji,59324
Finland,458084
France,4557128
French Polynesia,24634
Gabon,32329
Gambia,29646
Georgia,97443
Germany,14476561
Ghana,357877
Gibraltar,3053
Greece,811858
Greenland,5234
Grenada,12417
Guam,14666
Guatemala,1495229
Guinea,118196
Guinea-Bissau,30666
Guyana,159681
Haiti,328487
Honduras,565317
Hong Kong,1020406
Iceland,32620
India,4493080
Indonesia,5045714
Iran,3919268
Iraq,1156524
Ireland,715716
Israel,826436
Italy,2899258
Jamaica,34962
Japan,7993489
Jordan,377506
Kenya,407506
Kiribati,3859
Kuwait,750690
Latvia,94935
Lebanon,148807
Liberia,121050
Libya,324250
Lithuania,149227
Macao,72126
Madagascar,123526
Malaysia,2031675
Maldives,43134
Malta,32377
Marshall Islands,3674
Mauritania,59287
Mauritius,104971
Mexico,3725463
Micronesia (country),3895
Monaco,3412
Montenegro,32557
Morocco,863555
Mozambique,132612
Myanmar,1373018
Namibia,114222
Nauru,527
Netherlands,2571398
New Caledonia,22995
New Zealand,525630
Nicaragua,299480
Nigeria,5961750
North Korea,484700
Northern Mariana Islands,5006
Norway,499682
Oman,93251
Pakistan,6412210
Palau,1076
Palestine,87636
Panama,192818
Papua New Guinea,267234
Peru,1543879
Philippines,2565766
Poland,1346905
Portugal,1022683
Puerto Rico,342306
Qatar,103933
Romania,310385
Russia,5839685
Saint Kitts and Nevis,12280
Saint Lucia,32882
Saint Vincent and the Grenadines,8818
Samoa,7000
Sao Tome and Principe,6571
Saudi Arabia,1561618
Senegal,485586
Seychelles,11730
Sierra Leone,96655
Singapore,359483
Sint Maarten (Dutch part),3263
Slovenia,108421
Solomon Islands,19842
Somalia,237569
South Africa,4465798
South Korea,2025772
Spain,4709157
Sri Lanka,2621606
Sudan,1292740
Suriname,31300
Sweden,164305
Syria,1365594
Tanzania,386998
Thailand,3532495
Togo,135294
Tonga,8476
Trinidad and Tobago,1745123
Tunisia,559235
Turkey,5596657
Turks and Caicos Islands,2851
Tuvalu,554
Ukraine,1724509
United Arab Emirates,600741
United Kingdom,4925590
United States,37825550
Uruguay,310379
Vanuatu,25443
Venezuela,2669998
Vietnam,3268227
Yemen,887497
