Categorized Items,Land,Underwater,Watercraft,Total Items
Cigarette Butts,4390361,12781,13805,4416947
"Food Wrappers (candy, chips, etc.)",4778396,7748,8816,4794960
Take Out/Away Containers (Plastic),641648,1680,6104,649432
Take Out/Away Containers (Foam),397518,873,2389,400780
Bottle Caps (Plastic),1591128,3539,5240,1599907
Bottle Caps (Metal),487943,1524,1041,490508
Lids (Plastic),630760,647,3614,635021
"Straws, Stirrers",961457,2187,4811,968455
"Forks, Knives, Spoons",364121,3205,920,368246
Beverage Bottles (Plastic),1838880,11269,19390,1869539
Beverage Bottles (Glass),475422,7291,8133,490846
Beverage Cans,469516,7814,12044,489374
Grocery Bags (Plastic),743396,8145,6522,758063
Other Plastic Bags,618532,3699,1235,623466
Paper Bags,167084,780,373,168237
"Cups, Plates (Paper)",181699,222,636,182557
"Cups, Plates (Plastic)",719137,1752,1913,722802
"Cups, Plates (Foam)",230939,219,3448,234606
"Fishing Buoys, Pots & Traps",55580,452,236,56268
Fishing Net & Pieces,197590,14321,195,212106
Fishing Line (1 yard/meter = 1 piece),81843,7768,3702,93313
Rope (1 yard/meter = 1 piece),123366,2346,246,125958
Fishing Gear (Clean Swell),61465,5638,606,67709
6-Pack Holders,32970,43,134,33147
Other Plastic/Foam Packaging,432031,1137,2037,435205
"Other Plastic Bottles (oil, bleach, etc.)",216287,618,877,217782
Strapping Bands,55685,541,150,56376
Tobacco Packaging/Wrap,103228,474,585,104287
Other Packaging (Clean Swell),79830,463,500,80793
"Appliances (refrigerators, washers, etc.)",12458,32,61,12551
Balloons,104902,504,575,105981
Cigar Tips,126007,77,396,126480
Cigarette Lighters,66850,259,370,67479
Construction Materials,153329,1051,1178,155558
Fireworks,29200,152,215,29567
Tires,25001,280,818,26099
Toys,44619,627,337,45583
Other Trash (Clean Swell),392484,1019,2491,395994
Condoms,28882,66,37,28985
Diapers,113449,475,186,114110
Syringes,22205,21,371,22597
Tampons/Tampon Applicators,31895,204,45,32144
Personal Hygiene (Clean Swell),47976,671,312,48959
